prompt_id,prompt_text
1,"I am serious about my movie nights to unwind after work, and I don't want any tired sequels; I have seen it already, so I stream a lot and would love a film that is dark."
2,"I am comfort-seeking about my movie nights in the evening, and I don't want any bland filler; I have seen it already, so I stream a lot and would love a film that is raw."
3,"I am cinephile-leaning about my late-night viewing into the late hours, and I don't want any over-marketed fluff; I have seen it already, so I binge a lot and could use a film that is whimsical."
4,"I am open-minded about the stuff I put on with friends with my partner, and I don't want any endless franchise leftovers; I have seen it already, so I stream a lot and need a film that is fast-paced."
5,"I am spur-of-the-moment about what I stream after work with my partner, and I don't want any generic crowd-pleasers; I have finished that one, so I browse a lot and need a feature that is mind-bending."
6,"I am cinephile-leaning about what I stream after work about screen time when I travel, and I don't want any bland filler; I have watched it last week, so I rewatch a lot and could use a pick that is tense."
7,"I am nostalgic about what I stream after work in the evening, and I don't want any hollow streaming bait; I have seen it already, so I rewatch a lot and want a film that is visually-stunning."
8,"I am spur-of-the-moment about my travel downloads from last year, and I don't want any hollow streaming bait; I have finished that one, so I stream a lot and could use a movie that is slow-burn."
9,"I am adventure-hungry about what I stream after work onto my watch-list, and I don't want any hollow streaming bait; I have seen it already, so I browse a lot and want a feature that is atmospheric."
10,"I am spur-of-the-moment about my travel downloads into the late hours, and I don't want any tired sequels; I have binged too much lately, so I rewatch a lot and want a film that is bittersweet."
11,"I am mood-driven about the stuff I put on with friends to unwind after work, and I don't want any bland filler; I have seen it already, so I browse a lot and want a feature that is fast-paced."
12,"I am spur-of-the-moment about my background viewing while I cook at home, and I don't want any endless franchise leftovers; I have seen it already, so I stream a lot and would love a story that is nostalgic."
13,"I am comfort-seeking about the stuff I put on with friends with my partner, and I don't want any tired sequels; I have seen it already, so I browse a lot and need a film that is immersive."
14,"I am serious about my weekend queue at home, and I don't want any generic crowd-pleasers; I have binged too much lately, so I binge a lot and need a feature that is tense."
15,"I am spur-of-the-moment about my background viewing while I cook into the late hours, and I don't want any endless franchise leftovers; I have watched it last week, so I watch a lot and would love a story that is dark."
16,"I am mood-driven about what I stream after work to unwind after work, and I don't want any over-marketed fluff; I have seen it already, so I binge a lot and could use a pick that is uplifting."
17,"I am open-minded about what I stream after work to unwind after work, and I don't want any generic crowd-pleasers; I have binged too much lately, so I browse a lot and want a movie that is tense."
18,"I am late-night about my weekend queue into the late hours, and I don't want any generic crowd-pleasers; I have watched it last week, so I watch a lot and could use a feature that is tense."
19,"I am picky about what I stream after work with my partner, and I don't want any generic crowd-pleasers; I have finished that one, so I stream a lot and want a pick that is bittersweet."
20,"I am critical about what I stream after work from last year, and I don't want any generic crowd-pleasers; I have watched them already, so I browse a lot and want a feature that is quirky."
21,"I am cinephile-leaning about my weekend queue to unwind after work, and I don't want any predictable comfort rewatch; I have watched it last week, so I binge a lot and would love a movie that is poignant."
22,"I am detail-oriented about the stuff I put on with friends with my partner, and I don't want any over-marketed fluff; I have watched it last week, so I binge a lot and want a movie that is dark."
23,"I am critical about my rainy-day picks in the evening, and I don't want any predictable comfort rewatch; I have watched it last week, so I stream a lot and want a film that is whimsical."
24,"I am critical about my movie nights for the weekend, and I don't want any bland filler; I have watched them already, so I rewatch a lot and would love a movie that is visually-stunning."
25,"I am adventure-hungry about my background viewing while I cook for the weekend, and I don't want any predictable comfort rewatch; I have seen it already, so I queue a lot and would love a feature that is whimsical."
26,"I am sentimental about my background viewing while I cook about screen time when I travel, and I don't want any tired sequels; I have watched them already, so I watch a lot and could use a feature that is gritty."
27,"I am comfort-seeking about my background viewing while I cook in the evening, and I don't want any hollow streaming bait; I have binged too much lately, so I queue a lot and need a feature that is dark."
28,"I am mood-driven about what I stream after work for the weekend, and I don't want any tired sequels; I have seen it already, so I browse a lot and want a feature that is lyrical."
29,"I am open-minded about my travel downloads from last year, and I don't want any tired sequels; I have watched them already, so I binge a lot and need a film that is nostalgic."
30,"I am cinephile-leaning about my movie nights on week-nights, and I don't want any generic crowd-pleasers; I have seen it already, so I stream a lot and am searching for a feature that is gritty."
31,"I am nostalgic about the stuff I put on with friends in the evening, and I don't want any tired sequels; I have seen them all, so I watch a lot and could use a feature that is off-beat."
32,"I am detail-oriented about the stuff I put on with friends into the late hours, and I don't want any hollow streaming bait; I have binged too much lately, so I binge a lot and want a story that is quirky."
33,"I am nostalgic about my movie nights onto my watch-list, and I don't want any hollow streaming bait; I have watched it last week, so I watch a lot and need a film that is fast-paced."
34,"I am in a popcorn mood about my weekend queue in the evening, and I don't want any predictable comfort rewatch; I have watched them already, so I stream a lot and would love a film that is visually-stunning."
35,"I am sentimental about the stuff I put on with friends on week-nights, and I don't want any predictable comfort rewatch; I have seen it already, so I browse a lot and need a pick that is tense."
36,"I am critical about the stuff I put on with friends onto my watch-list, and I don't want any predictable comfort rewatch; I have watched it last week, so I rewatch a lot and want a story that is mind-bending."
37,"I am sentimental about my travel downloads about screen time when I travel, and I don't want any tired sequels; I have binged too much lately, so I queue a lot and am searching for a story that is heart-warming."
38,"I am critical about my movie nights from last year, and I don't want any predictable comfort rewatch; I have watched it last week, so I watch a lot and would love a movie that is visually-stunning."
39,"I am quality-obsessed about my travel downloads at home, and I don't want any endless franchise leftovers; I have watched them already, so I stream a lot and could use a movie that is slow-burn."
40,"I am rewatch-happy about my travel downloads onto my watch-list, and I don't want any generic crowd-pleasers; I have binged too much lately, so I browse a lot and would love a story that is uplifting."
41,"I am serious about my weekend queue to unwind after work, and I don't want any bland filler; I have watched them already, so I queue a lot and want a story that is nostalgic."
42,"I am detail-oriented about my late-night viewing with my partner, and I don't want any tired sequels; I have binged too much lately, so I queue a lot and would love a feature that is mind-bending."
43,"I am adventure-hungry about my movie nights on week-nights, and I don't want any hollow streaming bait; I have seen them all, so I rewatch a lot and need a story that is bittersweet."
44,"I am selective about my travel downloads at home, and I don't want any hollow streaming bait; I have seen them all, so I browse a lot and would love a film that is gritty."
45,"I am serious about what I stream after work at home, and I don't want any predictable comfort rewatch; I have watched them already, so I rewatch a lot and would love a movie that is whimsical."
46,"I am comfort-seeking about my weekend queue in the evening, and I don't want any endless franchise leftovers; I have finished that one, so I watch a lot and want a movie that is slow-burn."
47,"I am serious about my rainy-day picks into the late hours, and I don't want any generic crowd-pleasers; I have seen them all, so I browse a lot and want a movie that is quirky."
48,"I am open-minded about the stuff I put on with friends in the evening, and I don't want any tired sequels; I have binged too much lately, so I rewatch a lot and want a story that is gritty."
49,"I am open-minded about what I stream after work about screen time when I travel, and I don't want any generic crowd-pleasers; I have watched them already, so I binge a lot and want a feature that is atmospheric."
50,"I am late-night about my travel downloads for the weekend, and I don't want any tired sequels; I have watched them already, so I queue a lot and am searching for a story that is poignant."
51,"I am adventure-hungry about what I stream after work to unwind after work, and I don't want any endless franchise leftovers; I have binged too much lately, so I browse a lot and would love a story that is off-beat."
52,"I am picky about what I stream after work to unwind after work, and I don't want any tired sequels; I have watched it last week, so I rewatch a lot and need a pick that is bittersweet."
53,"I am comfort-seeking about my rainy-day picks with my partner, and I don't want any over-marketed fluff; I have watched it last week, so I browse a lot and am searching for a pick that is dark."
54,"I am nostalgic about my travel downloads in the evening, and I don't want any hollow streaming bait; I have seen them all, so I watch a lot and would love a movie that is raw."
55,"I am late-night about the stuff I put on with friends on week-nights, and I don't want any hollow streaming bait; I have finished that one, so I browse a lot and need a story that is fast-paced."
56,"I am quality-obsessed about my travel downloads about screen time when I travel, and I don't want any endless franchise leftovers; I have seen them all, so I queue a lot and would love a movie that is heart-warming."
57,"I am nostalgic about the stuff I put on with friends about screen time when I travel, and I don't want any hollow streaming bait; I have binged too much lately, so I stream a lot and would love a story that is tense."
58,"I am spur-of-the-moment about my movie nights to unwind after work, and I don't want any endless franchise leftovers; I have seen it already, so I binge a lot and would love a story that is whimsical."
59,"I am rewatch-happy about my background viewing while I cook from last year, and I don't want any hollow streaming bait; I have seen it already, so I browse a lot and want a film that is immersive."
60,"I am detail-oriented about my rainy-day picks on week-nights, and I don't want any generic crowd-pleasers; I have seen it already, so I queue a lot and want a movie that is heart-warming."
61,"I am selective about my movie nights in the evening, and I don't want any tired sequels; I have seen them all, so I browse a lot and am searching for a feature that is visually-stunning."
62,"I am nostalgic about the stuff I put on with friends from last year, and I don't want any over-marketed fluff; I have seen it already, so I stream a lot and need a feature that is uplifting."
63,"I am sentimental about my weekend queue into the late hours, and I don't want any over-marketed fluff; I have watched them already, so I browse a lot and need a feature that is atmospheric."
64,"I am selective about my background viewing while I cook into the late hours, and I don't want any predictable comfort rewatch; I have watched it last week, so I rewatch a lot and would love a pick that is lyrical."
65,"I am comfort-seeking about my background viewing while I cook at home, and I don't want any hollow streaming bait; I have seen them all, so I binge a lot and want a story that is mind-bending."
66,"I am quality-obsessed about my background viewing while I cook for the weekend, and I don't want any endless franchise leftovers; I have seen them all, so I watch a lot and want a story that is heart-warming."
67,"I am mood-driven about my rainy-day picks into the late hours, and I don't want any bland filler; I have seen it already, so I stream a lot and am searching for a movie that is atmospheric."
68,"I am nostalgic about what I stream after work about screen time when I travel, and I don't want any over-marketed fluff; I have finished that one, so I browse a lot and am searching for a film that is lyrical."
69,"I am nostalgic about the stuff I put on with friends about screen time when I travel, and I don't want any generic crowd-pleasers; I have watched it last week, so I queue a lot and would love a feature that is uplifting."
70,"I am in a popcorn mood about my movie nights with my partner, and I don't want any endless franchise leftovers; I have seen them all, so I binge a lot and would love a pick that is nostalgic."
71,"I am sentimental about my background viewing while I cook for the weekend, and I don't want any endless franchise leftovers; I have seen them all, so I binge a lot and am searching for a story that is uplifting."
72,"I am spur-of-the-moment about my weekend queue from last year, and I don't want any tired sequels; I have watched it last week, so I browse a lot and am searching for a pick that is uplifting."
73,"I am picky about what I stream after work about screen time when I travel, and I don't want any tired sequels; I have seen them all, so I stream a lot and could use a feature that is bittersweet."
74,"I am mood-driven about my late-night viewing from last year, and I don't want any endless franchise leftovers; I have finished that one, so I binge a lot and am searching for a story that is mind-bending."
75,"I am critical about my background viewing while I cook in the evening, and I don't want any hollow streaming bait; I have watched it last week, so I watch a lot and want a film that is slow-burn."
76,"I am curious about my movie nights for the weekend, and I don't want any tired sequels; I have watched them already, so I browse a lot and want a movie that is quirky."
77,"I am in a popcorn mood about what I stream after work onto my watch-list, and I don't want any tired sequels; I have seen them all, so I queue a lot and could use a movie that is mind-bending."
78,"I am serious about my weekend queue to unwind after work, and I don't want any bland filler; I have watched it last week, so I watch a lot and would love a feature that is heart-warming."
79,"I am spur-of-the-moment about my late-night viewing on week-nights, and I don't want any predictable comfort rewatch; I have binged too much lately, so I queue a lot and need a story that is atmospheric."
